id,type,profit,carbon,energy,failedP,inferences,time,numIntents,size,rate,gintent
1,FIFO_Profit,7.762707473223008,0.19482181980366756,0.6155286915614534,6,111483,0.029741,10,10,0.3,low
1,FIFO_Carbon,15.949060317991872,0.17725181282225827,1.5460780759825803,2,125568,0.032532,10,10,0.3,low
1,Longest_Carbon,15.831059071556245,0.15254184585316455,1.585403486002303,2,144158,0.035261,10,10,0.3,low
1,Longest_Profit,8.202981283723163,0.19474842797883818,0.8160464673811044,6,145282,0.03553,10,10,0.3,low
1,FIFO_Balanced,14.555473576907536,0.1906274054939027,1.3559745197825444,3,125629,0.03219,10,10,0.3,low
1,FIFO_Free HW,14.536562740249453,0.1924433359451491,1.3921481252740306,3,113445,0.029979,10,10,0.3,low
1,Longest_Free HW,15.849709879357214,0.19458635452561737,1.564826627339217,2,142893,0.035233,10,10,0.3,low
1,Random_Profit,8.542752532921538,0.19390465789236133,0.7537907189846987,6,135079,0.034694,10,10,0.3,low
1,Hungriest_Balanced,11.091752144071705,0.19457533519028247,0.9614904091820574,5,139939,0.035218,10,10,0.3,low
1,Hungriest_Profit,7.030289906872997,0.19377064055204812,0.712267665745934,7,127967,0.032757,10,10,0.3,low
1,Random_Balanced,13.674967877445775,0.19213870297303376,1.2227516925868205,3,236077,0.050473,10,10,0.3,low
1,Longest_Balanced,12.597545149536275,0.19374095786103074,1.387319306567101,4,153666,0.036767,10,10,0.3,low
1,Random_Free HW,12.246128995780547,0.19456809985063067,1.1883353506924317,4,127782,0.033329,10,10,0.3,low
1,Random_Carbon,16.188012970980818,0.18091735093267983,1.5153001941577133,2,150718,0.037333,10,10,0.3,low
1,Hungriest_Carbon,16.52369876802421,0.14897219016358745,1.4241198446537118,2,436352,0.079702,10,10,0.3,low
1,Hungriest_Free HW,13.262720503868945,0.19309536677313452,1.292940702488388,4,1141103,0.186604,10,10,0.3,low
1,MILP,18.651072990141103,0.19350587693570354,1.629166611178211,1,0,19.701376,10,10,0.3,low
2,FIFO_Profit,7.7586467460124675,0.19435605432077924,0.617888969192956,6,112748,0.029732,10,10,0.3,low
2,FIFO_Carbon,14.522024537299963,0.17217795628502336,1.4176969024525679,3,115042,0.030357,10,10,0.3,low
2,FIFO_Balanced,12.453193678906263,0.19070578317677023,1.1414185101915197,4,114864,0.030002,10,10,0.3,low
2,FIFO_Free HW,14.525311684692124,0.19484779392229595,1.4211677917216254,3,137003,0.033444,10,10,0.3,low
2,Longest_Free HW,12.780021814582927,0.1926485405771686,1.3962113419655033,4,132044,0.033382,10,10,0.3,low
2,Longest_Carbon,12.748772188093051,0.11360738530268746,1.3953306587813123,4,131695,0.037607,10,10,0.3,low
2,Hungriest_Profit,7.033592798556965,0.19295950646018417,0.6987734023002095,7,135451,0.034284,10,10,0.3,low
2,Hungriest_Carbon,14.865589306659249,0.14484817122602073,1.3957440992555263,3,166552,0.039519,10,10,0.3,low
2,Random_Profit,6.13787758058046,0.19356991130808565,0.5963617057520734,7,126075,0.033281,10,10,0.3,low
2,Longest_Profit,4.240467566889347,0.19389028892378196,0.5278447439841469,8,125661,0.032042,10,10,0.3,low
2,Longest_Balanced,11.142135946332596,0.19393284631992888,1.3370686715789564,5,139940,0.03437,10,10,0.3,low
2,Random_Free HW,10.140828966507495,0.19406788818882997,0.8931084114585748,5,123271,0.033028,10,10,0.3,low
2,Hungriest_Balanced,12.911783477506585,0.19443481666270987,1.3836462853679745,4,149085,0.036525,10,10,0.3,low
2,Random_Carbon,14.510315465202176,0.15099099484935732,1.419088825653327,3,134282,0.034741,10,10,0.3,low
2,Random_Balanced,13.635434961374783,0.19335167731782363,1.30845211142758,3,136518,0.035317,10,10,0.3,low
2,Hungriest_Free HW,14.88610070845191,0.19337520392569613,1.389198601903777,3,165312,0.039581,10,10,0.3,low
2,MILP,16.964278083878348,0.19450226212695676,1.6648908884263671,2,0,6.22156,10,10,0.3,low
3,FIFO_Profit,7.766833314661234,0.19389297060084823,0.600028805107129,6,120068,0.030887,10,10,0.3,low
3,FIFO_Balanced,12.475799403293966,0.19469285388589527,1.0963309384148388,4,138263,0.0341,10,10,0.3,low
3,Longest_Free HW,8.845900795834051,0.1937103208198544,1.0529147398324656,6,140659,0.034352,10,10,0.3,low
3,Longest_Balanced,10.505619798518307,0.1936907845943381,1.0841412829281827,5,195589,0.043473,10,10,0.3,low
3,FIFO_Carbon,13.868178195631621,0.18326418739159892,1.2849149802879647,3,355790,0.065973,10,10,0.3,low
3,Longest_Carbon,13.516550059851882,0.1799566277789595,1.367194949890003,3,167716,0.039164,10,10,0.3,low
3,Hungriest_Free HW,11.49661302732925,0.19409546747472123,1.2352465083422417,5,160978,0.038137,10,10,0.3,low
3,Random_Profit,4.243293708094295,0.19471278083470675,0.521109681273757,8,124052,0.032676,10,10,0.3,low
3,Longest_Profit,4.243293708094295,0.19471278083470675,0.521109681273757,8,121402,0.031231,10,10,0.3,low
3,Hungriest_Profit,7.015585316368752,0.1947368954341142,0.7305223823074518,7,165918,0.039267,10,10,0.3,low
3,Random_Balanced,12.270375701253487,0.19499358406204384,1.1345303889013356,4,127823,0.034052,10,10,0.3,low
3,Random_Carbon,13.619592663369419,0.17082666677157657,1.3282919495578367,3,171985,0.040823,10,10,0.3,low
3,Hungriest_Carbon,14.094095374664729,0.16779669542512773,1.253771777381875,3,373835,0.070215,10,10,0.3,low
3,Random_Free HW,13.985411305475628,0.1821162279261035,1.2148455714821818,3,390475,0.074131,10,10,0.3,low
3,FIFO_Free HW,13.89529235772404,0.1939845321578746,1.2234554286550656,3,708659,0.11886,10,10,0.3,low
3,Hungriest_Balanced,10.873480377327473,0.19347298320644668,1.0345882216979476,5,646086,0.121321,10,10,0.3,low
3,MILP,15.158845081353478,0.19490570849893435,1.2123455133156644,3,0,30.227431,10,10,0.3,low
4,FIFO_Profit,7.766833314661234,0.19389297060084823,0.600028805107129,6,121820,0.031256,10,10,0.3,low
4,FIFO_Free HW,12.483928389583593,0.1930949726180061,1.0757180897542218,4,110154,0.029553,10,10,0.3,low
4,FIFO_Balanced,10.85454045887565,0.19201762196311908,0.993853124586162,5,128681,0.032415,10,10,0.3,low
4,FIFO_Carbon,14.882743679392677,0.19331149996144142,1.3315869570742334,3,209441,0.04447,10,10,0.3,low
4,Hungriest_Profit,7.034550992480488,0.19278918017143865,0.6967071078280221,7,142120,0.035371,10,10,0.3,low
4,Longest_Profit,4.243293708094295,0.19471278083470675,0.521109681273757,8,121270,0.031474,10,10,0.3,low
4,Longest_Free HW,12.592842936633433,0.19485432434997227,1.4016077119996524,4,136833,0.034484,10,10,0.3,low
4,Random_Profit,6.665261977072312,0.19493611036848288,0.720987854342032,7,133711,0.03457,10,10,0.3,low
4,Random_Carbon,14.537693960166326,0.1941009598297157,1.4079921034876783,3,134804,0.035212,10,10,0.3,low
4,Random_Balanced,11.600762007380766,0.1914908972723649,0.9485532278819455,4,141003,0.036062,10,10,0.3,low
4,Longest_Carbon,14.199527376836905,0.1751310464432513,1.5287160788192478,3,137102,0.034139,10,10,0.3,low
4,Hungriest_Carbon,14.898483080762984,0.18078182047140376,1.3672428717501488,3,407264,0.07518,10,10,0.3,low
4,Longest_Balanced,11.191515777950515,0.19458678010665056,1.2320261869176605,5,133099,0.033699,10,10,0.3,low
4,Hungriest_Balanced,11.872399167474654,0.19368171261623002,1.1050870981668264,5,125154,0.032764,10,10,0.3,low
4,Hungriest_Free HW,13.500496896801366,0.19478770933178158,1.1901919129837004,4,144455,0.035925,10,10,0.3,low
4,Random_Free HW,14.66367339041367,0.1923111054611256,1.393859533605824,3,135585,0.037295,10,10,0.3,low
4,MILP,16.561436213730317,0.1947776156165236,1.386116354585583,2,0,53.977738,10,10,0.3,low
5,FIFO_Free HW,10.134752190424594,0.19121299573878248,0.9095468491417668,5,133570,0.033324,10,10,0.3,low
5,FIFO_Profit,7.7562104769925435,0.19472958646404226,0.6255447284895824,6,108599,0.02937,10,10,0.3,low
5,FIFO_Balanced,12.502820025398163,0.19155495761687844,1.049636335632009,4,132575,0.033191,10,10,0.3,low
5,Longest_Profit,5.66352619755662,0.19382729757948536,0.6583071051590941,7,192027,0.043056,10,10,0.3,low
5,Longest_Carbon,15.837106540102402,0.1769991189219746,1.6016880451432047,2,144073,0.035141,10,10,0.3,low
5,Longest_Free HW,10.46626404653922,0.19448069365523693,1.1558887410005787,5,138109,0.034481,10,10,0.3,low
5,Longest_Balanced,11.181636575176432,0.1944115926690783,1.2624242877786285,5,177398,0.040316,10,10,0.3,low
5,FIFO_Carbon,14.873785816693625,0.1789951885525239,1.338862091276883,3,512663,0.089154,10,10,0.3,low
5,Hungriest_Profit,7.031755130801591,0.19327977621037423,0.7034066998792659,7,134448,0.034956,10,10,0.3,low
5,Random_Carbon,14.414734322723167,0.19389793275113387,1.4604991840642085,3,132848,0.035513,10,10,0.3,low
5,Hungriest_Carbon,16.51325248348613,0.1543787724364032,1.457089033971194,2,341841,0.065474,10,10,0.3,low
5,Random_Profit,10.523801530207194,0.19432077234337858,0.7565925473101119,5,170684,0.040785,10,10,0.3,low
5,Random_Free HW,8.935840882887408,0.19387487834332662,1.0498334197599553,6,131455,0.033958,10,10,0.3,low
5,Random_Balanced,13.677153530048962,0.19049803907224114,1.2304429063968134,3,157036,0.038391,10,10,0.3,low
5,Hungriest_Free HW,14.543017395242867,0.19445983896793687,1.4545245499824446,3,200630,0.049583,10,10,0.3,low
5,Hungriest_Balanced,14.943748252012368,0.19479520495214847,1.2922534859413768,3,461758,0.083663,10,10,0.3,low
5,MILP,17.23924972193899,0.19429804843198245,1.4813562993230067,2,0,21.936527,10,10,0.3,low
6,FIFO_Profit,6.120976241655528,0.1930184065167988,0.5536355198128221,7,109914,0.029531,10,10,0.3,low
6,FIFO_Balanced,14.570444931278885,0.1947768356217574,1.33310383875949,3,124402,0.031653,10,10,0.3,low
6,Longest_Free HW,12.77626511011356,0.19336889308569927,1.406657021186202,4,149915,0.036097,10,10,0.3,low
6,FIFO_Carbon,14.877937559445765,0.19184918778067525,1.3395879371240333,3,299216,0.057763,10,10,0.3,low
6,Hungriest_Profit,8.679106611021009,0.1949381474921736,0.7499587443383763,6,161096,0.038782,10,10,0.3,low
6,Longest_Carbon,15.842687093881006,0.18741147475290718,1.5951233957494848,2,137683,0.034354,10,10,0.3,low
6,Longest_Balanced,10.28958434126036,0.19485490941062453,1.152041704337568,5,142138,0.035164,10,10,0.3,low
6,Longest_Profit,5.66352619755662,0.19382729757948536,0.6583071051590941,7,193490,0.045834,10,10,0.3,low
6,Hungriest_Balanced,13.52188715759309,0.19363452687036864,1.157820013915361,4,169367,0.039986,10,10,0.3,low
6,FIFO_Free HW,13.871677783805875,0.19278244202897968,1.274831791273321,3,462370,0.082791,10,10,0.3,low
