id,type,profit,carbon,energy,failedP,inferences,time,numIntents,size,rate,limit
1,longest_random,67.82362159784292,2.8003805016687644,7.769773773052274,18,428258,0.08283,50,50,0.3,high
1,hungriest_random,73.23488294494268,3.0739554490569585,8.26170571827405,17,454970,0.088919,50,50,0.3,high
1,random_random,63.73701800194618,2.400957418255551,6.661221507703254,19,384990,0.075805,50,50,0.3,high
1,longest_carbon,75.6681878459056,2.555402289926601,8.720790754865337,14,3524547,0.541601,50,50,0.3,high
1,longest_profit,68.24429332702218,3.0359617530107994,7.874718015774369,18,3347698,0.520066,50,50,0.3,high
1,hungriest_profit,76.51404193505472,3.4006762937423454,8.722256256706977,15,3520164,0.558382,50,50,0.3,high
1,random_balanced,64.38002883953223,1.920488811590281,6.757267287411749,19,2988380,0.470191,50,50,0.3,high
1,hungriest_carbon,79.1213348834016,2.8362536423351337,9.014922628300974,13,3583610,0.563726,50,50,0.3,high
1,longest_balanced,69.5574968312196,2.5301972198221687,7.9970504287517326,17,3160591,0.489928,50,50,0.3,high
1,longest_freeHW,63.921870760276974,2.772429682801889,7.345245249218153,20,2933508,0.463463,50,50,0.3,high
1,hungriest_freeHW,71.85095763239626,2.821026769728653,7.988902806822213,18,2894291,0.471023,50,50,0.3,high
1,random_freeHW,69.50533191327617,2.8597055378961564,7.750851039555552,16,2834088,0.450053,50,50,0.3,high
1,random_profit,62.92417300181345,2.5636166350709355,6.598838642815748,19,3124475,0.494635,50,50,0.3,high
1,random_carbon,68.16708049360577,1.9812899048882664,7.476435999526796,16,3375473,0.525124,50,50,0.3,high
1,hungriest_balanced,77.60685070542907,2.860278564254904,8.866660025170804,14,3383583,0.543333,50,50,0.3,high
1,MILP,82.38784538947513,3.6134910086857013,9.392529267435247,11,0,14675.036384,50,50,0.3,high
