id,type,profit,carbon,energy,failedP,inferences,time,numIntents,size,rate,gintent
1,FIFO_Profit,5.712408994139578,0.09939747464371076,0.397348026021573,22,139708,0.03361,25,5,0.3,low
1,FIFO_Carbon,5.708699301502129,0.08111706863750831,0.38557804966496967,22,139801,0.03335,25,5,0.3,low
1,FIFO_Free HW,5.710260871485664,0.09010528004984635,0.39258590500845175,22,139699,0.033101,25,5,0.3,low
1,FIFO_Balanced,5.709337198850289,0.08478344964996581,0.3879086731033735,22,139674,0.033397,25,5,0.3,low
1,Longest_Free HW,5.361776930530773,0.10249145712860268,0.4814333080294868,22,162351,0.037274,25,5,0.3,low
1,Longest_Carbon,5.362989055565943,0.09069291015904632,0.4670698873453909,22,161129,0.037213,25,5,0.3,low
1,Hungriest_Free HW,5.605380460638221,0.09689014381626887,0.4303715347992923,22,158371,0.037339,25,5,0.3,low
1,Hungriest_Carbon,5.606067126496497,0.08648899546993778,0.41849605116740973,22,158292,0.03758,25,5,0.3,low
1,Hungriest_Profit,5.610474817428047,0.10717464663036558,0.4299540166241148,22,158394,0.03729,25,5,0.3,low
1,Longest_Profit,3.7295638579830337,0.10475607073485649,0.4058401847579553,23,161591,0.038989,25,5,0.3,low
1,Random_Free HW,5.708346569769934,0.08276895011428304,0.3879755671582108,22,158533,0.038193,25,5,0.3,low
1,Longest_Balanced,5.363626952914102,0.09435929117150382,0.46940051078379486,22,162025,0.037577,25,5,0.3,low
1,Random_Carbon,5.708699301502129,0.08111706863750831,0.38557804966496967,22,158650,0.037876,25,5,0.3,low
1,Random_Balanced,5.363626952914102,0.09435929117150382,0.46940051078379486,22,164695,0.039556,25,5,0.3,low
1,Hungriest_Balanced,5.606705023844656,0.09015537648239527,0.4208266746058137,22,158049,0.037467,25,5,0.3,low
1,Random_Profit,3.7295638579830337,0.10475607073485649,0.4058401847579553,23,162910,0.043195,25,5,0.3,low
1,MILP,5.712408994139578,0.09939747464371075,0.39734802602157293,22,0,0.264339,25,5,0.3,low
2,FIFO_Carbon,6.11408139172787,0.09777263070211281,0.6778707605458418,22,148001,0.034821,25,5,0.3,low
2,FIFO_Free HW,4.486015912518486,0.10451419400146059,0.6025959468491193,23,155397,0.03569,25,5,0.3,low
2,FIFO_Profit,4.487006541598841,0.10652869353714338,0.602529052794282,23,153283,0.035662,25,5,0.3,low
2,FIFO_Balanced,4.4892412605452865,0.1066774646902371,0.5941472210723358,23,150649,0.03592,25,5,0.3,low
2,Longest_Profit,2.1083907925896477,0.10457049251366568,0.3026602117577031,24,186278,0.041309,25,5,0.3,low
2,Longest_Carbon,5.768438711907917,0.10189832825764389,0.7554369398013769,22,176078,0.040079,25,5,0.3,low
2,Longest_Free HW,2.1083907925896477,0.10457049251366568,0.3026602117577031,24,186278,0.041307,25,5,0.3,low
2,Hungriest_Profit,4.628297375516396,0.1073934992182021,0.5827262818048093,23,163811,0.038058,25,5,0.3,low
2,Hungriest_Balanced,4.631331386819873,0.10625674073674629,0.5810211812303105,23,165842,0.038874,25,5,0.3,low
2,Random_Free HW,4.486015912518486,0.10451419400146059,0.6025959468491193,23,174328,0.040721,25,5,0.3,low
2,Random_Balanced,1.4646791740618066,0.10338016375532252,0.13403609430129612,24,158170,0.037655,25,5,0.3,low
2,Hungriest_Carbon,6.254767581213724,0.09526498173297626,0.6613988478864423,22,162710,0.038219,25,5,0.3,low
2,Random_Profit,1.465502777979249,0.10727069572506512,0.13620986589476658,24,158168,0.03784,25,5,0.3,low
2,Longest_Balanced,2.1083907925896477,0.10457049251366568,0.3026602117577031,24,181787,0.041111,25,5,0.3,low
2,Random_Carbon,5.1107559460029215,0.07191918126778256,0.5889128084093365,22,198946,0.044672,25,5,0.3,low
2,Hungriest_Free HW,4.628297375516396,0.1073934992182021,0.5827262818048093,23,163622,0.043876,25,5,0.3,low
2,MILP,7.116588807609272,0.10682802013771657,0.5700730046882383,21,0,2.655403,25,5,0.3,low
3,FIFO_Carbon,4.47829722539775,0.1000825888548677,0.6127856621176122,23,151373,0.035479,25,5,0.3,low
3,FIFO_Profit,4.482320958960551,0.10733588921828849,0.6103201548637804,23,162067,0.037362,25,5,0.3,low
3,FIFO_Balanced,4.482320958960551,0.10733588921828849,0.6103201548637804,23,161997,0.036969,25,5,0.3,low
3,Longest_Profit,2.1083907925896477,0.10457049251366568,0.3026602117577031,24,186278,0.041089,25,5,0.3,low
3,FIFO_Free HW,4.482320958960551,0.10733588921828849,0.6103201548637804,23,161997,0.036952,25,5,0.3,low
3,Longest_Free HW,2.1083907925896477,0.10457049251366568,0.3026602117577031,24,186278,0.041129,25,5,0.3,low
3,Hungriest_Balanced,4.628297375516396,0.1073934992182021,0.5827262818048093,23,163846,0.038547,25,5,0.3,low
3,Random_Profit,1.465502777979249,0.10727069572506512,0.13620986589476658,24,158168,0.037741,25,5,0.3,low
3,Hungriest_Profit,4.628297375516396,0.1073934992182021,0.5827262818048093,23,165035,0.03878,25,5,0.3,low
3,Hungriest_Free HW,4.628297375516396,0.1073934992182021,0.5827262818048093,23,163846,0.038043,25,5,0.3,low
3,Longest_Carbon,5.768438711907917,0.10189832825764389,0.7554369398013769,22,167883,0.038734,25,5,0.3,low
3,Random_Free HW,3.9786250893249306,0.1067403988122625,0.35337082778601425,23,161164,0.038211,25,5,0.3,low
3,Longest_Balanced,2.1083907925896477,0.10457049251366568,0.3026602117577031,24,186278,0.041373,25,5,0.3,low
3,Hungriest_Carbon,6.254767581213724,0.09526498173297626,0.6613988478864423,22,162172,0.037912,25,5,0.3,low
