id,type,profit,carbon,energy,failedP,inferences,time,numIntents,size,rate,limit
1,longest_random,25.62267084505729,1.457965464350433,3.8349943096267443,88,2146726,0.320767,100,50,0.3,low
1,hungriest_random,37.705909565643985,1.457727837837111,4.205910018239222,84,1531596,0.24568,100,50,0.3,low
1,random_random,37.641274962585456,1.4599165769274016,4.207943435705096,80,5636850,0.782081,100,50,0.3,low
1,random_profit,32.64118639271793,1.4593860250936264,3.556475462488836,85,9206800,1.427374,100,50,0.3,low
1,longest_freeHW,23.42369636635489,1.4599807796112931,3.3574439858493994,89,9318101,1.507055,100,50,0.3,low
1,longest_carbon,54.20792035675585,1.4391950678402505,7.481105269144903,74,11339444,1.76795,100,50,0.3,low
1,longest_balanced,48.22076697623414,1.4599704000430116,6.600279818981452,77,10472814,1.661333,100,50,0.3,low
1,hungriest_freeHW,37.9309281228463,1.459544841367911,4.129884793275231,84,9878296,1.55784,100,50,0.3,low
1,hungriest_profit,31.20082504282533,1.4586831610375601,3.4503145898796648,87,9285786,1.477757,100,50,0.3,low
1,longest_profit,28.12446260945368,1.4594991774072366,3.9258036606990383,87,9735967,1.561643,100,50,0.3,low
1,random_freeHW,33.42301079800566,1.4591963641714838,3.58487579377842,83,10588193,1.627314,100,50,0.3,low
1,random_balanced,52.54859825103351,1.457886733007182,5.855777656470941,74,9731674,1.485728,100,50,0.3,low
1,random_carbon,60.601199750675235,1.4536075813611342,6.855616100816113,72,10106142,1.530156,100,50,0.3,low
1,hungriest_balanced,54.19400238526905,1.4490021511075246,5.848240757595977,77,69519974,9.739374,100,50,0.3,low
1,hungriest_carbon,61.88591674289661,1.4278212837847033,6.476723186935031,73,122801230,16.871961,100,50,0.3,low
1,MILP,72.30784280512567,1.4592775929732267,6.8714747509859135,67,0,497586.793373,100,50,0.3,low
