id,type,profit,carbon,energy,failedP,inferences,time,numIntents,size,rate,limit
1,hungriest_random,20.635251870176656,0.7250219148665182,2.174378884925921,91,648571,0.115852,100,25,0.3,low
1,longest_random,12.888431988581722,0.725475708420739,1.866265722193733,94,661029,0.115073,100,25,0.3,low
1,random_random,19.572764066662828,0.7223382006682095,2.3190907543965102,91,646766,0.110187,100,25,0.3,low
1,hungriest_balanced,21.49884372070985,0.725807689446379,2.469388686861824,91,4573420,0.720471,100,25,0.3,low
1,longest_balanced,16.84845164953861,0.7212798791125068,2.258839267710705,92,5257130,0.84508,100,25,0.3,low
1,longest_freeHW,15.013761783862256,0.7240245193225093,2.1102851602650126,93,4603497,0.743325,100,25,0.3,low
1,longest_profit,10.901591152572351,0.7250426322801251,1.589961413767067,95,4628208,0.747455,100,25,0.3,low
1,longest_carbon,22.765046217216604,0.7206105701444722,3.250374475188896,89,6814768,1.12672,100,25,0.3,low
1,random_carbon,30.0584476113363,0.7248410230765189,3.0240688877151625,84,4657109,0.738619,100,25,0.3,low
1,hungriest_freeHW,19.002395570958228,0.7207117414920124,2.103365219478951,92,4525268,0.713514,100,25,0.3,low
1,random_profit,11.998963278482515,0.7246948335855834,1.521271406309423,94,4483698,0.71751,100,25,0.3,low
1,random_freeHW,18.73553384750077,0.7249982730821691,1.943128505546661,91,4475966,0.713733,100,25,0.3,low
1,random_balanced,17.304941030569942,0.7178419978788447,2.1996494378713645,92,4789609,0.760285,100,25,0.3,low
1,hungriest_profit,13.48369956638859,0.7250196491130235,1.5843027879364717,94,7227182,1.128258,100,25,0.3,low
1,hungriest_carbon,25.1509727752699,0.7157326447195103,2.904357570168038,89,13466478,1.980725,100,25,0.3,low
1,MILP,33.12487848393491,0.725824807765335,3.0012897638683325,85,0,8245.447704,100,25,0.3,low
2,longest_random,15.001653645052954,0.7224919899223547,2.0466327809769154,93,658509,0.113505,100,25,0.3,low
2,random_random,16.20331913887028,0.7252158971867758,1.5402075295444657,92,620868,0.1072,100,25,0.3,low
2,hungriest_random,20.549486756096886,0.725523896635115,2.188210897655025,91,2798969,0.43071,100,25,0.3,low
2,longest_carbon,22.773268905077746,0.7218648511347444,3.250511052075651,89,6565153,1.012097,100,25,0.3,low
2,longest_profit,10.901591152572351,0.7250426322801251,1.589961413767067,95,4628214,0.741689,100,25,0.3,low
2,hungriest_freeHW,19.006463351724648,0.718396418934994,2.1113891688995863,92,4521901,0.709114,100,25,0.3,low
2,longest_freeHW,15.018533602222623,0.7213149007286987,2.1364157896311964,93,4605712,0.747364,100,25,0.3,low
2,random_profit,10.451854197726266,0.7248762044099157,1.4093088642986498,95,4466800,0.712178,100,25,0.3,low
2,random_balanced,18.881619354819748,0.7223736616467652,2.243099490391001,92,4527564,0.720634,100,25,0.3,low
2,hungriest_balanced,21.49884372070985,0.725807689446379,2.469388686861824,91,4572618,0.720164,100,25,0.3,low
2,random_freeHW,21.392797265408102,0.7254787541345518,2.1719167176608014,90,4513278,0.716697,100,25,0.3,low
2,longest_balanced,16.84845164953861,0.7212798791125068,2.258839267710705,92,5257028,0.838843,100,25,0.3,low
2,random_carbon,27.563060876928645,0.7169787481634261,2.9231295399048847,86,4661847,0.745651,100,25,0.3,low
2,hungriest_profit,13.484795054764106,0.7239122148188785,1.580482181562337,94,10387174,1.577361,100,25,0.3,low
2,hungriest_carbon,25.1509727752699,0.7157326447195103,2.904357570168038,89,13408622,1.981872,100,25,0.3,low
2,MILP,33.12487848393491,0.7258248077653346,3.001289763868334,85,0,10241.09413,100,25,0.3,low
3,longest_random,14.986773108208622,0.7237475181705633,2.1046614293245915,93,673474,0.118185,100,25,0.3,low
3,hungriest_random,19.01737989169073,0.7223308072843528,2.1416714214899337,92,635477,0.115134,100,25,0.3,low
3,random_random,15.022572783355841,0.7195397179100219,1.809043221216715,93,634343,0.109776,100,25,0.3,low
3,longest_carbon,24.634033837760487,0.7171707158151379,3.184363056882918,88,4773138,0.77228,100,25,0.3,low
3,longest_freeHW,15.046130596821456,0.725637175720613,2.1592435391320444,93,4618073,0.753885,100,25,0.3,low
3,longest_profit,10.901569403024448,0.7249660843428055,1.5881152611025726,95,4612798,0.748883,100,25,0.3,low
3,longest_balanced,17.289772053967464,0.7244637491780272,2.495663265851884,92,4645627,0.751139,100,25,0.3,low
3,random_freeHW,17.606395394739742,0.7242743073852398,2.086353155852581,92,4542549,0.728182,100,25,0.3,low
3,hungriest_balanced,21.459952703244802,0.7256575201412404,2.4727496189044356,91,4546127,0.717396,100,25,0.3,low
3,random_balanced,20.971652264735017,0.721772639097515,2.4338497178851544,89,4593921,0.73523,100,25,0.3,low
3,random_profit,17.79849873673864,0.7246062053236891,1.7816297882188117,92,4697908,0.750365,100,25,0.3,low
3,random_carbon,28.308380874729863,0.7230929633860952,3.0637745087484953,86,4672141,0.744397,100,25,0.3,low
3,hungriest_profit,14.396457266029252,0.7241527075747849,1.676507244819295,94,4457993,0.712236,100,25,0.3,low
3,hungriest_carbon,25.338514031362763,0.7156553588558503,2.7446869681927324,89,6410247,1.003035,100,25,0.3,low
3,hungriest_freeHW,18.088426730546978,0.7256979534534146,2.017589977594064,92,7846977,1.217756,100,25,0.3,low
3,MILP,32.87056956829732,0.7251294792703116,3.054449505112392,85,0,5201.600821,100,25,0.3,low
4,longest_random,17.03382251677384,0.7254422100692588,2.388155019377742,92,791504,0.131907,100,25,0.3,low
4,random_random,21.554844789150774,0.6385444634957125,2.1554842457279717,89,2285202,0.348948,100,25,0.3,low
