id,type,profit,carbon,energy,failedP,unsatprops,inferences,time,numIntents,size,rate
2,"multiDips_1_(0, 100, 0)",8.05265640008048,0.1821137929390652,0.6654149683381644,1,"[[], [], [], [], []]",98772,0.027552,5,5,0.2
2,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",8.057585996482388,0.1945922042933294,0.6722525603533809,1,"[[], [], [], [], []]",91354,0.026654,5,5,0.2
2,"multiDips_1_(0, 0, 100)",7.80875009057171,0.17277397272076506,0.7018504363858007,1,"[[], [], [], [], []]",83833,0.025682,5,5,0.2
2,"multiDips_1_(100, 0, 0)",8.06752862854156,0.21917531346395275,0.6739603765560171,1,"[[], [], [], [], []]",96655,0.027909,5,5,0.2
2,"multiDips_2_(0, 100, 0)",7.698385448799412,0.15240639733811226,0.7252044601417189,1,"[[], [], [], [], []]",94331,0.028461,5,5,0.2
2,MILP,10.162208856938445,0.2919182447438205,0.9787627066899365,0,-,0,0.132812,5,5,0.2
2,"multiDips_2_(100, 0, 0)",6.155657514052747,0.34947710725099884,0.6419580871466526,2,"[[], [], [], [], []]",96041,0.028675,5,5,0.2
2,"multiDips_2_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",95739,0.027915,5,5,0.2
2,"multiDips_2_(0, 0, 100)",7.702749074102442,0.1637003011688419,0.7261333078291192,1,"[[], [], [], [], []]",93678,0.02755,5,5,0.2
2,"multiDips_3_(100, 0, 0)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",110889,0.030519,5,5,0.2
2,"multiDips_4_(0, 0, 100)",7.822435820578886,0.20745374826026416,0.7036717966272714,1,"[[], [], [], [], []]",103424,0.030017,5,5,0.2
2,"multiDips_3_(0, 100, 0)",8.054079596829446,0.18145736529945977,0.660265909945263,1,"[[], [], [], [], []]",164712,0.037804,5,5,0.2
2,"multiDips_4_(100, 0, 0)",6.477846302447934,0.2988814335420466,0.5705607565397339,2,"[[], [], [], [], []]",121051,0.032804,5,5,0.2
2,"multiDips_4_(0, 100, 0)",8.05265640008048,0.1821137929390652,0.6654149683381644,1,"[[], [], [], [], []]",117623,0.032307,5,5,0.2
2,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.152277726022445,0.3405726913217285,0.6411002681673861,2,"[[], [], [], [], []]",99138,0.02994,5,5,0.2
